,0,1,2,J SC (mA/cm2),V OC (V),FF (%),PCE (%)
42_2_5,DIO 1%,,, 0.58 , 0.58 , 3.44 ,
43_2_0,PTTIBT,,,,,103 (1.8×103),
43_2_1,PTTIMBI,,,,,106 (4.5×105),
43_3_0,PTTIBT,,,2.26,0.61,0.39,0.54
43_3_1,DIO (3vol%),,,0.42,0.85,,
43_3_2,PTTIMBI,,,4.82,0.69,0.50,1.67
43_3_3,DIO (3vol%),,,0.53,2.60,,
44_1_0,0.76,,,8.64,0.76,0.38,2.49
44_1_1,0.89,,,8.64,0.89,0.49,3.76
45_2_0, P1:PC71BM,,,3.42,0.88,0.28,0.85/0.81
45_2_1,,,,3.77,0.87,0.46,1.51/1.44
45_2_2, P2:PC71BM,,,4.54,0.84,0.29,1.12/1.07
45_2_3,,,,7.48,0.86,0.52,3.33/3.21
46_1_0,BDT8TT:PC71BM,,,1.8,0.75,32.9,0.40
46_1_1,1:2,,,42.6,3.0,0.96,
46_1_2,1:3,,,46.7,3.2,1.01,
46_1_3,1:4,,,47.3,4.5,1.63,
47_2_0,In ODCB drop-coating,,,5.62,0.82,42.48,1.96
47_2_1,,,,40.29,5.80,1.89,
47_2_2,,,,36.64,5.63,1.59,
47_2_3, ,,,,,,
47_2_4,In ODCB with DIO drop-coating,,,6.72,0.81,45.72,2.49
47_2_5,3%,,,47.08,7.23,2.70,
47_2_6,PBDTPO-FBT:PC71BM=1:1.5,,,2.22,42.72,,
47_2_7,PBDTPO-FBT:PC71BM=1:2,,,1.95,40.13,,
